,author,content,dt,title
493,brunettewarrior,"I rate Agent Carter 10 out of 10 stars! I looked forward to every Tuesday night checking in with my friend (yes, it felt like we were pals) Peggy. This show delivers everything I am looking for and need in television.We have brains, brawn, beauty, brilliance...and that only covers some of the B-words! (I am being silly, but I could go on and on with adjectives) What I like most about this show is the promotion of women and empowerment. Women today can still relate to Peggy Carter because sexism is alive and thriving.I love we see a strong and smart woman taking matters into her own hands and working on something she wholeheartedly believes in--and kicking arse.Excellent writing, excellent action sequences, excellent supporting cast (Hey Enver!) and overall an excellent experience!!! Please deliver more AGENT CARTER !!! (A feature film or additional seasons of the series)",25 February 2015," I need more Agent Carter
"
494,satnamkaur-22775,I got to say that I am so hooked to this show. I have already seen it twice. I really hope and wish that ABC Network and Disney Marvels renew it for Season 3. It is the best TV show of Marvels Cinematic Universe.,9 May 2018," Best TV Show of Marvels
"
495,tavm,"Having seen the now-final ep of the series ""Agent Carter"", I'm bummed we won't get a third season as I thought the entire run was just awesome! I mean, I loved the '40s period atmosphere, and Hayley Atwell was just gorgeous and charismatic as the title character. She was when introed in Captain America: The First Avenger and even more here and I loved her dialogue with Edwin Jarvis (James D'Arcy), Howard Stark's butler. The first season in New York when she started working for SSR, and the second season in Los Angeles had such compelling plots and characterizations, I never was bored watching the whole thing! Oh well, hope Ms. Atwell luck in her new series ""Conviction"" though I don't know if I'll watch that yet...",21 May 2016," I'm gonna miss ""Agent Carter""!
"
496,Holly2164,"I love this show! It shows that anyone can be strong and brave. Peggy is beautiful and smart, and kick-butt! I learned lots of things form this show! Hayley Atwell is gorgeous and a great actress. At first I was thinking that it looked kind of cheesy but it's not! This show is better than my other favourites (which include Pretty Little Liars and Once Upon a Time) I love lots of retro hints, the fashion and hair always looked great, and the costumes were fantastic! When I watch it in felt like I was living in the 1940s! I think that having the main character as a girl really shows power, and that she is the only girl! I love Dottie, she is such a good actress! Angie is beautiful and hilarious! The casting was great! Please continue the show and make another season!",26 February 2015," I love it!
"
497,notgivens,"Marvelous show, from Captain American to a Marvel One-Shot, to her own Series, the sexy and buxom Haley Atwell is very easy to love. Marvel continues to turn the unbelievable into the very watchable. The entire Marvel universe has been expanding wonderfully since 2008 and the Hulk's first good reboot since Lou Ferrigno dawned the green makeup.Not once has this show ended without leaving a smile on my face, or a tear in my eye. Fun and entertaining from start to finish as they've all been, including Jessica Jones, Lucky Man, and I'm sure, the incoming unbreakable man we'll see shortly. When that bright red screen opens up a show, I know that the brilliance is not just in the colors.Thanks to you all, the casting of all the Marvel shows and movies has been amazing, I can't imagine a single actor that could pull off these roles any better than the ones cast, and I'm sure that they've all enjoyed these roles more than any dramatic characters they've played.",13 February 2016," Keep the spin-offs coming Marvel
"
498,douglashogg,"Just watched the last of eight episodes and feel I want to write a short review encouraging people to watch this! Agent Carter has been consistently excellent. Each episode is a genuine self contained story and a part of a longer arc with really satisfying plotting, suspense and action. I think this is one of the best things marvel has done and I really applaud them for doing this show, which was, lets face it, a bit of a risk for them. The 1940's setting really works to the shows advantage making it stand out from anything I had seen before. Everything, from the accents, to the costumes, to the sparingly used CGI set enhancements felt believable. I also liked that it doesn't shy away from the attitudes of the time and isn't afraid to show typical sexist attitudes of the 40's.The cast are all excellent, Hayley Atwell in particular standing out but everyone really working together as an ensemble. Hayley absolutely nails this part and I genuinely cared what happened to Peggy because of her performance. The links to the marvel movies are subtle but clever. But that isn't to say that you wouldn't enjoy the show without being a fan as the story lines and characters are strong enough to stand alone. Give Agent Carter a shot! its worth it!",19 March 2015," Brilliant but short TV series
"
499,sithumdananjaya,"Incredible really, how Hayley Atwell and cast along with the production crew have created something highly unusual: a high quality film production disguised as a TV show.I really loved it.Although it picks up pace after some episodes, and we start getting to the main story, after which I must say the screenwriters did a really good job.I know 10 is high for this show, but the finale was dazzling.Overall, it's a great show scattered with a few slippery episodes,shoddy acting, but gets better as it progresses to the ending after which it seems amazing.Definitely worth watching it.",27 September 2017," Awesome Show
"
500,lucasnasci,"I'm just gonna say this: I loved this series!!!! Agent Carter is now my favorite character in Marvel Cinematic Universe. Hayley Atwell is amazing in the role. Such a lovable character.Jarvis, Stark, Dottie, Whitey Frost and others are awesome characters. The cast is great too. It's too bad the show was cancelled. We need more of Peggy.Maybe, Netflix can pick up the show. We need a season 3!!!!! Just to tie some loose ends. I want to know if Jack live or die. Was the shooter Michael Carter?????? I'm dying to know what would happen next. Please, save this series!!!! Long live Peggy Carter!!!!!",29 May 2016," Amazing Show!!!!!! The best of Marvel Cinematic Universe
"
501,jlee9160,"Agent Carter was one of the best shows I've seen for a long time. With many great shows that end their run after only 2 or 3 seasons, I'm usually left feeling unfulfilled. But this show was just so well done, so well acted, so well cast, that it's difficult to be anything but happy to have been able to take this ride. I haven't written a review for a show in years, but I was inspired to thank everyone involved with bringing this gem to network TV. I wish there were further seasons, but again, so perfect I just can't get upset. I do hope the producers are able to put together at least one Agent Carter movie. I rarely go to the movies anymore, I generally wait for them to come to video these days. But I would spend the money to go see an Agent Carter movie as long as Hayley Atwell is playing Agent Carter. Thanks again, and congratulations to everyone involved with this production. A job beautifully done!",4 October 2016," Destined to be a fan/cult favorite for years to come.
"
502,thegrv,"I really loved watching it. I made my own chronological order of watching all of marvel cinematic universe including the TV Shows and Movies. I watched the first avenger and then this amazing show. Acting was impeccable. Story was meh. I just liked coming back to watch one more episode to see what Peggy was up to. Also, while watching this show I became a fan of marvel comics. I am reading daredevil now. So, this show and Captain America opened up a 'new world' for me. Love this show! And those little feminism references, I love it!",27 May 2017," Worth the watch!
"
503,ahmetkozan,"After delivering a wonderfully crafted show with Agent Carter, Marvel is back with another one, Daredevil. I love Netflix. They are enjoying good business. I think Marvel is one step ahead according to DC in TV series. My favorite was superhero series Daredevil. He is lawyer in the morning but he fights with criminals at nights. The fight scenes are quite impressive and realistic. Hallway scene in first season, stairs scene in second season. Enormous scenes! The show has a great atmosphere and is extremely dark, but it has a couple of jokes fitted around. The characters are greatly acted and the story is one of the greatest stories that has been on TV recently. The supporting cast is very good and characters get a lot of shared screen time, exploring street level hero stuff in ways we haven't seen and providing some real grit and action like never before in this genre. Punisher and Elektra were above my expectations. I can't believe this surpassed my expectations. The show is perfect, by far the best superhero show to have ever played on screen. This is by far my favorite thing the MCU has produced thus far. Daredevil is a must watch for Superhero fans, DC, Marvel or both. And I'm sure, you'll enjoy it! 10/10",30 March 2016," One of the best superhero series!
"
504,grhill-05898,"I don't know what to say other than if you haven't seen this show yet, you need to stop what you are doing and check it out now.",4 November 2018," Best superhero tv show period.
"
505,user-279-773711,"Those familiar with comics will know Frank Miller's run on Daredevil is up there with the highest points of his career. Other writers, such as Bendis and Brubaker, hit similar highs in their writing of the character. It's something about Daredevil that brings out incredible storytelling, whether it be the downtrodden and persevering Matt Murdock or the gritty realism of the setting in contrast to the colorful heroes that populate comic books, Daredevil has had a history of fantastic luck with having its potential tapped on paper.Now, that potential has been tapped on the screen. From the first episode you can tell the property has been adapted with love and a lot of hard work. The cinematography is beautiful in every frame. The characters could not have been cast better. If this weren't actually a better deal for fans, getting 13 hours of (excellent) content, I would hope Charlie Cox could front a Daredevil movie franchise. Because he could carry it.Daredevil has been the star of some of the best comics ever written, so the adaptation was always going to come under scrutiny. But how it holds up against them? This might actually be better.",10 April 2015," Miller's Daredevil Brought To Life
"
506,jacobbinu,"What an amazing season.. I almost binge watched it.. hell, wished there were more episodes. Cast and crew stunning job!! 👏🙌 Can't wait for next.. Is Bullseye coming? Is Dex going to be??",12 November 2018," Binged Daredevil 😈
"
507,sbucklar,"As a long term comic book nerd, and a huge fan of the Marvel cinematic universe and television properties - I wasn't sure what to make of the proposed Street Heroes development deal with Netflix, especially in light of the history with those characters in film (Affleck's disappointing Daredevil in particular). I was however pleasantly optimistic from the teaser releases.I am breath taken with the end result. Vincent D'Onofrio is to my mind the standout star and an act of sheer casting genius as Kingpin. The menace and complexity in his voice even when he's not on screen, and the cold, calculating and distant aspect of his body language, and the delivery of his dialogue, shows both the depth of his talent as an actor and the brilliance of his casting. As a long term fan of D'Onofrio - and a huge fan of the king pin in the comic book universe - I'm thrilled at the prospect of his continued involvement with the Marvel cinematic universe.The sound editing for the series in general, from D'Onofrio's voice overs to the audible representations of the protagonist's enhanced senses is a triumph. It begs to be recognized and awarded. It is perhaps as integral to success of the series as the performance of any of the characters.Also, Deborah Ann Woll who played Jessica Hamby in True Blood remains equally gifted as an actress, stunning as an aesthetic work of art, and for a moment, just a little bit more naked than she was in her prior works. Which after 71 episodes of true blood with a celebrity crush on her - has to be a acknowledged as part of the reason for my immediate fondness for the series. But as talented as she is, the show would stand as remarkable even without her.In the interest of fairness, there are some rough moments in the dialogue. The visual effects have moments of awkwardness in the earlier episodes. There is a sense in a few corners of the production group finding its feet. But it does seem to level out (and up) as the story progresses.",10 April 2015," A reason to sign up for Netflix, all other facts aside
"
508,m-mccabe-408-553138,"Two episodes in so far, as a Daredevil fan it's exactly what I hoped for. I am a huge fan of the Daredevil comics, my favourite run being by Bendis and Maleev, and this show is how you would imagine a Daredevil TV show being. It's a dark, gritty sombre affair with some great action, there is a fight scene in episode two which is truly amazing.Talking about action the best part for me is the action feels very realistic and brutal unlike the Daredevil film with its over the top wire work. Also very good in this show is the way his powers aren't shown in any fancy way, no sonar view or anything like that, it just emphasise his listening. The actors are all great too and the plots are compelling, just now I have nothing bad to say about this show.When marvel got back the rights to Daredevil I was a little apprehensive of how they would portray his character, no worries there now I've seen it, or if they would use the character at all. I was worried if he did get his own show/film it'd be like the rest of the Marvel films/shows, light hearted action with great fan service and a good helping of comedic moments, which wouldn't of suited the dark world of Daredevil. But I can safely say to all you fellow hornhead fans that they have nailed everything about Daredevil perfectly.I would highly recommend this show to Daredevil fans and fans of darker heroes like Batman, fans of the current MCU films/shows might not like the tonal change from those films/shows but it's exactly what the character needed. Now excuse me while I go watch some more! 10/10",10 April 2015," As a Daredevil fan it's exactly what I hoped for.
"
509,edogaringging,"Spent my whole night, which I previously planned to go out with some folks, to watch some episodes of this. I have never really seen Daredevil as cool as how he is being portrayed in this series. I know that the comic book has always been dark and gritty, but with the effects they added to each scene, I feel just like trapped and cannot stop watching. The acting is well, I don't know how to put it, but I feel like I was watching real people doing real stuffs. The action scenes are awesome (I am not gonna say that it is as real as the lawyer acting). I have never even batted an eye to Daredevil before today (moreover after that previous movie), but I assure you, I will have his poster on my wall tomorrow.",10 April 2015," Now, this is what I called great
"
510,mullallyalan,"I've always loved getting wrapped in a TV show and becoming well acquainted with the characters. Seeing how they develop throughout the seasons and react to certain situations always keeps me engaged and motivated to watch the show, and Daredevil has most certainly just that. Besides the fact that its about a blind marvel vigilante, the show provides amazing characters including the most iconic and by far my favorite villain of time, 'Kingpin'. But it also includes amazing writing, acting, character origins and development and plot twists to keep you one hundred percent engaged. This show in my opinion has done everything a great show should do, times two. Even if you are not a huge marvel fan I would highly recommend checking it out.",4 November 2018," Outstanding and engaging
"
511,jessejames-82885,"Didn't really have any expectations for Daredevil. After watching the movie as a kid and not overly enjoying it, I think Marvel has done an amazing job now that they have Daredevil back in their control. I love how mature it is compared to the other movies/shows Marvel have been doing in the MCU. The dark tone and violence they have incorporated will please a lot of people that have been wanting to see that from Marvel (me included). The cast and the writing are excellent and I look forward to possible appearances by other characters that Daredevil has either worked with or fought against in the comics. Very excited to see what else Marvel can produce with their characters that have yet to hit the screen.",10 April 2015," Step in the right direction.
"
512,f-53325,"I bought a Netflix account to watch the 3rd
season as soon as possible. And I finished it within a day. The releasing time was 3p.m. here in China. Wow, it was so rewarding that I watched it at the first time. For the first two seasons I watched online, but not through Netflix. It brightened my weekend breaks. I would certainly assume that it comprised part of my senior high school life. I was so impressed by the depth of the series. Last one was Christopher Nolan's Batman trilogy. However, due to the restricted background set by batman comics, its no wonder that the society depicted in the trilogy was not that real, or a little bit aloof. This series, including lots of judical factors, can reflect some true phenomenons. Not so glamorous as batman, nightmare still represents a bigger world.",31 October 2018," Redifine the Superhero
"
513,isaac-mccormack,"Daredevil has to quietly be one of the best things on Netflix. A proper TV series which has you gripped all the way. If you are a fan of the comics then you will have a rough idea on the plot points etc, however if you're like me, who has no knowledge, it's quite a ride. The writing and acting is amazing, especially from Charlie Cox (Daredevil) and Vincent D'Onofrio (Wilson Fisk) who both pull off excellent performances. Just finished watching series 3, and oh my word it only gets better. Season 1 is my personal favourite but all seasons are very strong. Daredevil is a much watch, and if you don't think it's miles ahead of any marvel show on Netflix (Punisher is very good) then you are just wrong. A must watch.",30 October 2018," Absolutely AMAZING.
"
514,robin_should,"Well, here is a show that really surprised me. I was expecting the usual Marvel show, but what did I watch, a show with Gotham quality. The main players are at the moment still evolving, the acting is on par with the script and I hope they can keep it up to this standard and not fall into that ""lazyness"" that sometimes appears after a few shows. It would seem once again choosing a non-American as lead has paid-off. It's like the fresh blood into a dying species. So, for fans of the not so run of the mill comic adaption I can thoroughly recommend this, and for all those out there that need everything to be bright, colourful and loud you should watch this just to see how good something can be without all that. That makes it sound boring but I can assure you, you may just be as surprised as I was.Update: Finished season 1 and I have nothing but praise for this show and can't wait for season 2. I wish I could give it a 10 but that would not leave me any room to raise my rating, which if season 2 is as good, I definitely will.",10 April 2015," Not what you think
"
515,Here_2_Review,"Daredevil is some of the best I have ever seen from MCU...particularly Netflix MCU! Season 1 and 2 are good and worth your time, but season 3...omg This season is a MASTERPIECE!!!! It does everything right and even better than the first 2 seasons. This new season really fleshes out every character so much more, Matt himself, Karen, Foggy, KINGPIN, Dex, holy cow! For villainous performances, D'Onofrio was BORN to play Wilson!!! He is even a better Kingpin than in the Spiderman Ps4 game! All Netflix Kingpin has to do is sit with a straight face and still look like he will choke a person out or put a head through a table at any moment. You do not see Vincent on Kingpin at all... This is the best role of his career! Before season 3 showed up, I knew NOTHING about Ben Poindexter in the world of Marvel as far as comics or whatever.. This show gives you Pointexter's entire backstory all at once, but so cleverly well done, omg! How it does it is a long process, but NEVER drags or takes you out of the show! How Dex is portrayed in this show, when he is in the spotlight, you somewhat give a crap about him. This season gives the audience who has never picked up a comic, like myself...all the help needed to learn way more about Matt, Karen, Foggy, etc in through the best performances I have ever seen in this show.. The character development is beautiful, the tone, everything. This season is just a beautiful flawless masterpiece! Almost puts the first two seasons to shame! BETTER BE A FOURTH SEASON!!!",22 October 2018," This show....
"
516,cottemann,"This is the Marvel show we have all been waiting for. It takes place in post Avengers New York and criminals are taking advantage of the city. What I like about this show is how naturally it fits in the world already created. The question has come up recently that there are several heroes in the universe that cant hold up their own movie but that people want to see. One of the ways was to include them the bigger hero's movies but it never feels like they are doing the characters justice. Then someone got the idea to do TV shows for them, and while Marvel Agents of Shield is one of the worst shows on television, Daredevil works great and I hope the Jessica Jones and Luke Cage are just as awesome.",10 April 2015," First of the Defenders comes out swinging.
"
517,mgurnhill,"Charlie Cox truly brings a comic book character to life in this series. Simply outstanding. That's not to take away from the supporting cast who do a phenomenal job with stories and complex characters made their own. Within this series of twists, turns, betrayal, heartbreak and action comes daredevil who keeps breathing life into a broken hells kitchen. A must watch for any comic book or superhero fan.",11 November 2018," Outstanding Cast
"
518,mills71,"This season is a crime drama on par with The Dark Knight. The writing is excellent, the performances are excellent. The directing and cinematography are great. It's so layered and deep with character development that this might be the best thing Netflix has done to date.",24 October 2018," Season three...
"
519,vadernikolai,"No spoilers. Just watch it. I come from a martial arts background and all things considered for it being a superhero show. The fight scenes are realistic and more believable then most shows. Character injuries stay consistent and slow heal. The character adaptations to real world are brilliant (all though at first I didn't agree with some, then I realised the brilliance of the changes). Very well done show. S2 was .y least favorite but S1 and S2 I couldn't stop watching.",4 November 2018," Best MCU show
"
520,johnyskar,"What a hero Daredevil is! And what a person (and actor) Matthew Murdock is. But great villains make great heroes so credit where credit is due, Bullseye and Kingpin= Top notch foes.Actually i didn't expect Bullseye to be such a great and powerful enemy. A second Tier ""mini boss"" at best, had such a huge impact on this season with great combat skills and impressive fighting sequences. But the person Pointdexter has also great depth and keeps the viewers interest at all times.Fisk turning full Kingpin was also nice delivered. I can't remember a low point in the season, well maybe the filler ""Karen"" episode but even this was good for its intriguing backstory.The series keeps it's dark and serious tone throughout its progression but without getting boring just for the sake of it. This season also had the best fighting scenes. I mean some of the were just awsome... The prison one-shot scene, exceptional. As was the finale with the Triple Threat going on, surely Fisk was the Final Boss but it didn't feel like it as it felt shared between them both. Not one character had a bad performance.✍ Next season i would like for new villains to be introduced, and DD showed us that when one hero's show is cancelled after another he is getting just better and better at captivating the audience. Maybe the rest of the team would be better in a one show team up, DD could show up there too.
Also he totally deserves to get an appearance in a MCU movie, if not Avengers.📝:10/10",2 November 2018," A Different Kind of Superhero, the Great Kind! (Focus on Season 3)
"
521,syedawais-90961,"The Daredevil series is a record breaking TV show in the superhero genre. The level of writing in each of its seasons (especially season 1 and 3) is unparalleled. Each season thus far is consistent and never fails to keep your attention.
It follows a strong lead character (Charlie cox/Matt Murdock) that is always in a deep inner struggle with his demons as he takes on various challenges throughout the series. He is followed by a strong support cast; Eldon Henson/Foggy Nelson, Deborah Ann Woll/Karen Page and the main and best antagonist in television history Vincent D'Onofrio/King Pin(who's development truly shined in Season 3).
This is a must watch show even if your not a superhero fan as Matt Murdock has no meta-human abilities and niether do the villains so the show is pretty grounded and can sit well with any moviegoer and bingewatcher.",3 November 2018," The Best Superhero TV show made
"
522,tanvirmanc,"Excellent writing, flawless acting, all in all a brilliant show especially the season 3.",30 October 2018," Best show ever
"
523,lloydo-tangonovember,"The third season of Daredevil still carries Marvel & Netflix's Defenders and shows them how its done. With a compelling story, character development and thrilling action Dare devil series 3 in my opinion is the best season yet. Reintroducing the kingpin and bringing a fantastic Bullseye to the small screen. The season manages to grip you tight and then smash you through a window.Netflix would be stupid to consider dumping Daredevil.",3 November 2018," Daredevil season 3
"
524,paultierney7,"Outstanding, series 3 on a par with Peaky Blinders and other excellent programmes. First 2 series really good but 3 on another level",31 October 2018," Season 3 brilliant
"
525,sara_sigarodi,Best series of the Marvels on Netflix. Keep them coming .,13 November 2018," So good 👍👍👍
"
526,dawarravi,"Daredevil is definitely the best superhero show ever. Heck, it's even better than a movie. Kudos to the team for producing a complex story line and executing that to perfection.",10 November 2018," Best superhero show ever!
"
527,carlmnh,"Season 3 is the best of all ,,i pray and i hope that mcu will bring back daredevil for season 4 ,,,",10 November 2018," loved it !!!!!!!!!!!!!
"
528,erinkay641,"I am truly baffled by the negative reviews. This show is incredible. Every character is truly fascinating and we get glimpses of their back stories to supplement the story, but I guess people are disappointed that not everything was revealed immediately? I am almost positive that the mystery of Jessica Jones' background is intentional and they will reveal more as the show develops. As for people that complain that the show is boring....these must be the people keeping things like the Transformers series in business. If you're looking for constant explosions and action, you'll be disappointed. However, if you are looking for a show with well developed characters, a chilling villain, a compelling and relatable main character, an intriguing storyline, and just utterly spectacular acting, this is the show for you. No, it's not a typical superhero show. It goes above and beyond in so many aspects. This has raised the bar for superhero stories, in my opinion. Krysten Ritter is superb and very believable as Jessica Jones. I love love love this show! Give it a chance, you will not be sorry you did! I can't wait for Season 2.",17 January 2016," All Around Amazing
"
529,TouchTheGarlicProduction,"If for nothing else, watch Jessica Jones for David Tennant's performance as Kilgrave. He is better than any other Marvel movie or TV villain ever seen before. He is truly terrifying but oddly hypnotizing. He can make you do whatever he tells you to. Not only does David Tennant's charisma make this believable, but the writers use it in a lot of cool ways. As a villain, he's right up there with Heath Ledger's Joker.Krysten Ritter (Jesse's girlfriend from season 2 of Breaking Bad) plays the lead. It's great to see a Female Marvel lead, and she delivers a wonderfully understated performance. The show starts off as a gritty detective show with dry humour and not much of Tennant. However, as the show goes along, it evolves into something much cooler. It gets darker but also funnier, and Tennant's involvement becomes larger.In conclusion, Jessica Jones is a very binge-able show with a memorable villain and a great lead that doesn't need much prior knowledge despite tying into the Marvel universe. In my opinion, it's even better than Daredevil.",20 November 2015," AKA a brilliant show with a truly menacing and memorable villain.
"
530,sbucklar,"Much like Daredevil, the real saga of Jessica Jones is that of the Villain. David Tennant shines as a dark and broken sociopath. His performance is chilling and terrifying and asks dark questions about what we would do with ultimate power over those around us, and about what would become of us.Stepping past Tennant's breathtaking performance, the rest of the casting is apt and on point. Any fan of the comic books will be hard pressed to fault Jessica Jones or Luke Cage. Their chemistry and dynamic is ink made flesh and the characters that we loved brought to screen. The supporting cast are equally brilliant, especially the trio of Australian actors supporting in the roles of Trish Walker, Will Simpson and Malcolm. Comic book buffs will quickly spot the nods to comic cannon and the fascinating divergence and rebirth of comic book icons. There is extensive dialogue and set references to comic book icons that shows a phenomenal attention to detail that becomes a love letter to long term fans of these properties.Jessica Jones breathes yet more life into the promise of the Defenders franchise at Netflix. Bring on Luke Cage, Iron Fist, and future seasons. If for some reason you haven't yet signed up for Netflix - this show alone is a reason to do so.",20 November 2015," Netflix and Marvel's partnership is the ballad of the villains
"
531,Rebriwien,"Jessica Jones is what happens when you strip off a superhero's spandex and explosions. Taking away the flash of Hollywood block-busters puts a great burden on both the plot and actors, and Jessica Jones excels in both.The series is a must-see for anyone who likes a good thriller. Rather than using superpowers or alien gadgets, the main character's search for the villain is good old-fashioned PI work. The superpower that has the most relevance to the plot, mind-control of the wonderfully evil villain Kilgrave played by David Tennant, is not used in a quest to destroy the world but rather to pose difficult ethical questions: What would you do if you had the ultimate power? Who can be redeemed?13 episodes leaves no time for fillers, keeping the plot moving fast. The cinematography is also great.",1 January 2016," Watch it for the plot
"
532,Nightmarelogic,OK here is the thing. If you are expecting Jessica Jones to put on a cape and go flying through the air then you will be disappointed. This is more a noir drama then a superhero story and yet it is also both. You could almost take away the superpowers completely and still have a deep meaningful story about a woman dealing with personal demons who is forced to confront the man who haunts her dreams. Add a world where powers and powered people exist and that is an added bonus. All the characters have chemistry with each other and the story itself is a good one. This isn't Daredevil and there isn't a brutal fight every episode so if that is what you are looking for you will be disappointed. If you are looking for a good and personal story then you will like this.,21 November 2015," This is NOT Daredevil with a girl
"
533,gbengadurojaiye518-161-419788,"This is a work of art, unlike any superhero series, it focuses on the drama around Jessica and Kilgrave, it does not show a woman flying around saving people or punching people, it follows the comic perfectly with the R-rated rating and also how battered her life is and people around her. Best marvel series ever made till date. other things about this series is the fact that they don't care about normal superhero stuffs that is secret lair, costumes, running around at night looking for troubles, and the fact that she doesn't consider herself to be a superhero who needs to save her city. and also the fact that they did not make super powers look like one special thing as she breaks locks or jumps to fire escape or stops moving cars is absolutely exquisite. for all marvel fans this is a most watch and DC fans this is JESSICA JONES.",21 November 2015," Work Of Art
"
534,Siren555,"Holy female bad-ass, Netflix's Jessica Jones is Marvel-ous. You'll stay up until the wee hours binge-watching episode after episode until you can't keep your eyes open--it's THAT kind of show. Great casting, acting, music, writing, and cinematography aside, Jessica Jones (played by Ann Hathaway lookalike Krysten Ritter) is a character you'd want to watch even if she didn't possess superpowers. Beneath Jessica Jones' ability to throw 300-lb. guys through walls is an aching fragility. She is conflicted, boozy, peeved, sh*t-talking, embraces her own sexuality, thinks fast on her feet, and is devoted to what she does. Jessica's bordering-on-con- artist skills as a private detective are especially entertaining.Fair warning: There are sexually explicit scenes–-no nudity but, whoah--and occasional gore (maybe every three episodes.) More than any other series except Orange is the New Black, Jennifer Jones brims with a perfect cast of interesting, strong female characters, notably Carrie-Ann Moss of Matrix/Trinity fame and Australian actress, Rachael Taylor, probably best known by American audiences as Maggie Madsen in Transformers (2007--and for looking an awful lot like a grownup 24's Elisha Cuthbert.In case you haven't watched Jennifer Jones yet, I'll hold back from revealing which actor was chosen to play the sociopathic, mind-controlling super villain, but I will say this: the casting choice was brilliant.",27 December 2015," A Marvel-ous Binge Watch
"
535,Plamen_Nenchev,"Superhero shows/movies usually make my stomach turn, so I watched the pilot as an experiment I was sure would end prematurely. The description of the show ended up being completely wrong (do not trust it), the last thing this is is a superhero show. No, Jessica Jones is a beautifully dark, witty and suspenseful drama about what makes us human and about the daily choices and internal fights all of us have between being good and being evil and making the right choice.Krysten Ritter seems to have landed the role of a lifetime. Walking around the episodes with a permanent snarl, a bottle of whiskey and a sardonic remark up her sleeve, she is the true star of the show, in a that role fits her like a glove. David Tennant is equally good as an enamored sociopath and probably the first mass murder I have ever seen in film/television who is genuinely amusing (whenever he is not repulsive). The interaction between the two is a good enough reason to watch the show alone, and the amazing writing is only matched by the skill of the actors delivering their lines. Ritter is a true queen of snappy repartees.I expect the show to be a tough contender for the Emmies, and I will be really disappointed if Ritter and Tennant do not get at least nominations.",9 January 2016," Beautifully Dark and Witty Show
"
536,oscarman45,"It's not often I get excited about kick-ass films with unknown stars but this had me gripped from episode 1 and now I'm on episode 4. One thing I never do here is ever give away a plot or inklings but all I can say is get the biggest tub of popcorn, big ass drink and sit and be immersed in a full-on assault by Krysten Ritter aka Jessica Jones!!! The first 2 episodes are what you need to get your head around after that it's all action.David Tennant...well there's a dark man who's done well for himself on the American circuit. First of all he was over here as Dr Who, bimbleling along and now he's a force to be reckoned with lol. As with the Marvel team, what you see is what you get, mind over matter (so to speak). It's a very good show and can't wait to further my knowledge into the depths of Stan lee's mind.",12 December 2015," Must See!!!
"
537,taryllsbaker,"Jessica Jones is the next instalment in the Marvel Cinematic Universe (MCU), following on from Daredevil, which also premiered this year. Set in the same Hell's Kitchen, Jessica Jones takes a look at dark tones and topics such as depression, guilt, sex, death, rape and assault; and this only makes the story drive more. Daredevil was dark, but this is much, much darker.Firstly, one of the things that stood out for me right from the start is the beautiful cinematography and direction. This show looks stunning; there's so much colour and vibrancy, not only in the backdrop, but in the characters too. Jessica is played by Krysten Ritter (Breaking Bad), who surprisingly, without any major roles thus far, shines throughout the season in a powerful, yet gentle and subtle performance. David Tennant is incredible with his take on Kilgrave. I originally had no expectations for his character, or his performance before watching. But he really is convincing and quite menacing, and creepy at times. The music by Sean Callery is stunning and eerie, just as it should be. The titles are the first thing you see, each episode, so it had to capture your attention straight away. And it does. With 'elevator music' elements and subtle piano melodies, it all kicks off soon when the percussion drives in and takes control with blasting electric guitars and solo- like touches which really pulls the mood together; then, finally settles you with the main title logo. Perfect.It's worth noting that although Jessica has 'special' powers, there aren't any huge scenes when special effects are used to amplify these moments of power and force. It's mostly camera tricks to show her strength and 'jumping and falling' powers. So, if you're planning on watching for an over-the-top smash fest, you won't find it here. Also, if you're ignoring the age certificate then I'll warn you, there are a couple scenes of a sexual nature.My verdict; Jessica Jones is another insanely good instalment to the MCU canon and should not be missed by any fan of Marvel. It even attracts the 'noir' feel which has major potential to entertain even the casual comic book fan. This is by far one of the best Marvel series yet, and possibly forever will be.Jessica Jones, 10/10.",30 November 2015," 'AKA Review'
"
538,tarjanyi-mate,"This is how superhero movies should look like on the big screen too. Marvel stepped up their game with the trio of Daredevil, Luke Cage and Jessica Jones. Screw them lousy previous attempts, this is the real thing. I'm a big fan of the Daredevil series, so big in fact, that my whole world revolved around Murdock and his team while watching the series. And I have to tell you people, I'm not into superheroes. I started watching Jessica Jones with high expectations, as Daredevil made me cry, smile and start training again, and I was quite disappointed by the first 2-3 episodes. But then, the magic came out and about. This show is grittier than both the others, although just in the sense that it's an emotional challenge to sit through. Now, characters are round and nice, all have some characteristics (no pun intended) that makes them likable. Even Kilgrave. As the story unfolded so did my tears start running after watching every episode. If you have a heart, you'll get the whole point of the show. Hats off to anyone involved in the production of this marvelous (again, no pun intended) gem of a TV show. I'm hoping to see much more of Jessica, her adversaries and the other saviors of NY too!",20 November 2016," This is mind-bogglingly excellent
"
